slug,name,city,state,address,full_address
draper,Mister Car Wash Draper,Draper,UT,387 E 12300 S,"387 E 12300 S, Draper, UT"
riverton,Mister Car Wash Riverton,Riverton,UT,4627 W 13400 South,"4627 W 13400 South, Riverton, UT"
american-fork,Mister Car Wash American Fork,American Fork,UT,83 North West State Road,"83 North West State Road, American Fork, UT"
greenstone-2545,Mister Car Wash Greenstone,Spokane,WA,1740 E Renshaw Drive,"1740 E Renshaw Drive, Spokane, WA"
mcclellan-1581,Mister Car Wash McClellan,Spokane,WA,202 W 3rd Ave,"202 W 3rd Ave, Spokane, WA"
regal,Mister Car Wash Regal,Spokane,WA,4301 S Regal St,"4301 S Regal St, Spokane, WA"
hoerner-st,Mister Car Wash Hoerner St,Spokane,WA,255 E Hoerner Ave,"255 E Hoerner Ave, Spokane, WA"
five-mile,Mister Car Wash Five Mile,Spokane,WA,1615 W Five Mile Road,"1615 W Five Mile Road, Spokane, WA"
n-division,Mister Car Wash N. Division,Spokane,WA,6420 N Division,"6420 N Division, Spokane, WA"
sunset-hwy,Mister Car Wash Sunset Hwy,Spokane,WA,9009 W Us Hwy 2,"9009 W Us Hwy 2, Spokane, WA"
n-pines,Mister Car Wash N. Pines,Spokane,WA,423 North Pines Road,"423 North Pines Road, Spokane, WA"
n-sullivan,Mister Car Wash N. Sullivan,Spokane,WA,307 N Sullivan Rd,"307 N Sullivan Rd, Spokane, WA"
moses-lake,Mister Car Wash Moses Lake,Moses Lake,WA,1035 N Stratford Rd Suite K,"1035 N Stratford Rd Suite K, Moses Lake, WA"
kennedy-rd,Mister Car Wash Kennedy Rd.,West Richland,WA,3220 Kennedy Road,"3220 Kennedy Road, West Richland, WA"
aaron-dr,Mister Car Wash Aaron Dr,Richland,WA,1131 Aaron Drive,"1131 Aaron Drive, Richland, WA"
burden-blvd,Mister Car Wash Burden Blvd,Pasco,WA,7200 Burden Blvd (road 68),"7200 Burden Blvd (road 68), Pasco, WA"
west-court-st,Mister Car Wash West Court St,Pasco,WA,3810 W Court St,"3810 W Court St, Pasco, WA"
kennewick,Mister Car Wash Kennewick,Kennewick,WA,404 North Columbia Center,"404 North Columbia Center, Kennewick, WA"
okanogan-pl,Mister Car Wash Okanogan Pl,Kennewick,WA,5231 W Okanogan Pl,"5231 W Okanogan Pl, Kennewick, WA"
fruitland,Mister Car Wash Fruitland,Kennewick,WA,520 W Columbia Drive,"520 W Columbia Drive, Kennewick, WA"
9th-ave,Mister Car Wash 9th Ave,Walla Walla,WA,1100 Dalles Military Rd,"1100 Dalles Military Rd, Walla Walla, WA"
onalaska,Mister Car Wash Onalaska,La Crosse,WI,3850 Wi-16,"3850 Wi-16, La Crosse, WI"
kenosha,Mister Car Wash Kenosha,Kenosha,WI,5803 75th St,"5803 75th St, Kenosha, WI"
